position,company,location,flag
Reporting Analyst,Airspace Technologies,"Carlsbad, CA",6
Data Analyst I,ULTRA Mobile,"Costa Mesa, CA",6
Data Engineer,Supplyframe,"Pasadena, CA",6
Data Scientist,USC,"Los Angeles, CA",6
Data Analyst,GOAT,"Los Angeles, CA",6
Retention Analytics Manager,LegalZoom,"Glendale, CA",6
Data Engineer,Spokeo,"Pasadena, CA",6
Vice President of Data Engineering,Weedmaps,"Irvine, CA",6
Data Engineer,Screen Actors Guild- Producers Pension & Health Pl...,"Burbank, CA",6
"Product Manager, Analytics",Walmart eCommerce,"Carlsbad, CA",6
Research and Development Analyst,Behr,"Santa Ana, CA",6
Data Analyst,Live Nation,"Hollywood, CA",6
Data Analyst,ONG HUMAN CAPITAL,"San Gabriel Valley, CA",6
Research Programmer I,USC,"Los Angeles, CA",6
Data Analyst,System1,"Venice, CA",6
Data Quality Analyst,CenCal Health,"Santa Barbara, CA",6
Principal Data Scientist,Briq,"Santa Barbara, CA",6
Accountant - Accounting,Keck Medical Center of USC,"Los Angeles, CA",6
Data Analyst (KH) - Materials Management,Keck Medical Center of USC,"Los Angeles, CA",6
"Ad Sales Research Metrics Analyst, West Coast",Hulu,"Santa Monica, CA",6
Data Scientist (Sales Engineering),Factual,"Los Angeles, CA",6
Research Analyst,Kharon,"Los Angeles, CA",6
Data Engineer,Esports One,"Santa Monica, CA",6
Data Analyst - SAS/SQL,"Health Care Consultants, Inc.","Pasadena, CA",6
Data Engineer,Cognizant Technology Solutions,"Burbank, CA",6
Data Scientist Intern,ViaSat,"Carlsbad, CA",6
Data Engineer,Creative Arts Agency (CAA),"Los Angeles, CA",6
EIS Data Architect,Cedars-Sinai,"Los Angeles, CA",6
Sr. Data Analyst,CorVel Healthcare Corporation,"Irvine, CA",6
Enrollment Research Associate,USC,"Los Angeles, CA",6
"Associate, Corporate Operations Strategy & Analysis",Netflix,"Los Angeles, CA",6
"Associate, Data Analytics",BKM Capital,"Newport Beach, CA",6
"Associate, Paid Social",GroupM North America,"Los Angeles, CA",6
"Associate, Strategic Operations",Bird Rides Inc.,"Santa Monica, CA",6
Energy Forecast & Analytics Specialist,Southern California Edison,"Rosemead, CA",6
BI Analyst,Internet Brands,"Los Angeles, CA",6
BI Business Analyst,Briq,"Santa Barbara, CA",6
Junior Visual Quality Tester at MediaMonks LA,MediaMonks,"Los Angeles, CA",6
Clinical Data Analyst II (Temporary),L.A. Care Health Plan,"Los Angeles, CA",6
"Director, Analytics Enablement",RAPP,"Los Angeles, CA",6
Lead Data Engineer,Chipotle Mexican Grill,"Newport Beach, CA",6
Logistics Specialist Job,Acuity Brands,"Ontario, CA",6
"Specialist, CRO",Tinuiti,"Los Angeles, CA",6
"Manager, Analytics",Ticketmaster,"Hollywood, CA",6
"Software Engineer, Data",Warner Bros Careers,"Burbank, CA",6
"Director, Data Science",Red Bull North America,"Santa Monica, CA",6
Business Analyst-Senior,Kaiser Permanente,"Pasadena, CA",6
"Director, Content Analytics & Measurement",NBCUniversal,"Los Angeles, CA",6
"Manager, Data & Analytics Modeler, Machine Learning",KPMG,"Irvine, CA",6
Intern,"Yardi Systems, Inc.","Santa Ana, CA",6
Sr. Data Scientist,VaynerMedia LLC,"Los Angeles, CA",6
Entertainment Technology Intern,AT&T,"El Segundo, CA",6
Integration Project Specialist (PH),The Walt Disney Company (Corporate),"Burbank, CA",6
Talent Acquisition Business Partner,Capital Group,"Los Angeles, CA",6
"Analyst, Performance Management",Los Angeles Homeless Services Authority,"Los Angeles, CA",6
"Analyst, Portfolio Analytics, Risk and Reporting","Oaktree Capital Management, L.P.","Los Angeles, CA",6
Supply Chain Data Analyst,SJH System Office,"Irvine, CA",6
Analytics Manager,Bambee,"Los Angeles, CA",6
"Financial Analyst II, Ad Sales",Hulu,"Santa Monica, CA",6
Healthcare Analytics Developer III - SQL,MemorialCare Health Services,"Fountain Valley, CA",6
Financial Analyst,"Faneuil, Inc.","Torrance, CA",6
Healthcare Data Analytics Manager (Field Based - West Region) – Clinical Services Group,Edwards Lifesciences,"Irvine, CA",6
Strategist,PHD,"Los Angeles, CA",6
"Assistant, Motion Pictures Marketing",Creative Arts Agency (CAA),"Los Angeles, CA",6
Industrial Data Scientist and Developer,ThinkIQ,"Aliso Viejo, CA",6
Strategic Data Analyst,Brady Corporation,"Valencia, CA",6
Associate Account Analyst,BDS Marketing,"Irvine, CA",6
"Executive, Data Quality & Governance",CoreLogic,"Irvine, CA",6
Info & Data Systems Intern,Warner Bros Careers,"Burbank, CA",6
Associate Data Specialist (Temp),Blizzard Entertainment,"Irvine, CA",6
Staff Customer Analyst,Intuit,"San Diego, CA",6
"Initiative - Strategist, Strategy",IPG Mediabrands,"Los Angeles, CA",6
"Manager, Data Analysis & Profiling",Sony Pictures Entertainment Inc.,"Culver City, CA",6
Data Management Analyst,Northrop Grumman,"Redondo Beach, CA",6
"VP, Consumer Data and Analytics",CIT Group,"Pasadena, CA",6
Senior Manager of Data & Analytics,Public Storage,"Glendale, CA",6
Materials and Product Data Scientist,"Patagonia, Inc","Ventura, CA",6
"Manager, Predictive Analytics",Hyundai Capital America,"Irvine, CA",6
Business Intelligence Analyst,The Spaceship Company,"Mojave, CA",6
"Manager, Multiplatform Analytics",NBCUniversal,"Universal City, CA",6
"Manager, Data Sciences",National Research Group,"Culver City, CA",6
"Manager, Inventory Analytics","Kellstrom Defense Aerospace, Inc.","Camarillo, CA",6
Senior Data Scientist - Disney +,Disney Streaming Services,"Glendale, CA",6
"Director, Analytics",Canvas Worldwide,"Playa Vista, CA",6
Digital Insights Analyst,HitWise,"Los Angeles, CA",6
"Manager, Data Analytics and Insights",DaVita,"El Segundo, CA",6
Business Insights Partner,GumGum,"Santa Monica, CA",6
Digital Marketing Analyst (Analytics),Cedars-Sinai,"Los Angeles, CA",6
Senior SAR Analyst I,Bank of Hope,"Los Angeles, CA",6
Senior Ecommerce Data Analyst,Feedonomics,"Woodland Hills, CA",6
"VP, Data Science",Warner Bros Careers,"Burbank, CA",6
Business Intelligence Analyst,"Amazon.com Services, Inc.","Santa Monica, CA",6
Senior Data Quality Assurance Analyst,Fox Corporation,"Playa Vista, CA",6
Data Science Associate Consultant,ZS Associates,"Los Angeles, CA",5
Data Research Specialist,Procore Technologies,"Carpinteria, CA",5
"Manager, Strategic Analytics",Sony Pictures Entertainment Inc.,"Culver City, CA",5
"Principal Data Architect, Data Lake & Analytics","Amazon Web Services, Inc.","Santa Monica, CA",5
Web Analytics Manager,Cygnet Infotech,"Los Angeles, CA",5
Principal Data Engineer,The Walt Disney Studios,"Glendale, CA",5
Information and Data Management Advisor,Southern California Edison,"Rosemead, CA",5
"Manager, Revenue Analytics",Procore Technologies,"Carpinteria, CA",5
Experimentation Manager,Hulu,"Santa Monica, CA",5
Influencer Relations Assistant,"EMINENT, INC.","Cerritos, CA",5
Escalation Specialist,Epi Source,"Gardena, CA",5
Initiative - Communications Designer,IPG Mediabrands,"Los Angeles, CA",5
Data/Backend Engineer,Vertical Mass,"Los Angeles, CA",5
"Manager, Media Analytics",Merkle Inc.,"Culver City, CA",5
Environmental Data Analyst,Weston Solutions,"Carlsbad, CA",5
Data Scientist,Acorns,"Irvine, CA",5
Insights Analyst,Blizzard Entertainment,"Irvine, CA",5
Player Support Insights Manager,"Operating Company ACTIVISION PUBLISHING, INC","El Segundo, CA",5
Data Warehouse Specialist,University of California - Irvine,"Irvine, CA",5
"Manager, WarnerMedia Entertainment Strategy",Warner Bros Careers,"Burbank, CA",5
Digital Marketing Assistant,Indie-Pop Music,"Los Angeles, CA",5
Incident Response & Malware Analyst,Tiro Security,"Century City, CA",5
Data Management Analyst,UCLA,"Los Angeles, CA",5
Data Management Consultant,Lyons Hathaway,"Los Angeles, CA",5
General Ledger Associate,"UCPath Center, University of California","Riverside, CA",5
Data Management Engineer,"Amazon.com Services, Inc.","Santa Monica, CA",5
"Vice President, Information Technology",sweetgreen,"Los Angeles, CA",5
Full Time Commercial Real Estate Intern,PMI Properties,"Los Angeles, CA",5
Developer - Data & Platform,SAP,"Newport Beach, CA",5
Producer for YouTube Series (Rocky Kanaka),Rocky Kanaka,"Santa Monica, CA",5
Growth Hacker,HOLLA,"Los Angeles, CA",5
Data Manager,Foothill Family,"El Monte, CA",5
Producer,Electronic Arts,"Los Angeles, CA",5
Principal/Business Technology,ZS Associates,"Los Angeles, CA",5
Development Manager - Data & Analytics,Boras Corporation,"Newport Beach, CA",5
Data Operations Coordinator II,Trusaic,"Los Angeles, CA",5
Head of Mobile Game Analytics,Blizzard Entertainment,"Irvine, CA",5
Field Technician,Cyient,"Santa Ana, CA",5
Head of Trust & Safety,Snapchat,"Los Angeles, CA",5
"Health Care Consultant, Client Analytics",COPE Health Solutions,"Los Angeles, CA",5
Member Experience Data Analyst,Logix Federal Credit Union,"Burbank, CA",5
Health Data Analyst II,Kaiser Permanente,"Pasadena, CA",5
Financial Data Analyst - Contractor,Paysafe Group,"Westlake Village, CA",5
"Health Information Consultant, Cerritos, PS21091","Anthem, Inc.","Downey, CA",5
Desktop Technician,SAIC,"Anaheim, CA",5
Financial Analyst - Business,Esri,"Redlands, CA",5
Healthcare Analytics Develp II,MemorialCare Medical Foundation,"Fountain Valley, CA",5
Financial Analyst,"CK Franchising, Inc.","Irvine, CA",5
Financial Aid Analyst,California State University,"Long Beach, CA",5
Entry Level Accenture Consulting Digital Analyst,Accenture,"Los Angeles, CA",5
Workday Reporting Specialist,Snapchat,"Los Angeles, CA",5
Entry Level Accenture Infrastructure Advisory Analyst,Accenture,"Los Angeles, CA",5
Director E-Commerce Analytics,AT&T,"El Segundo, CA",5
Web Developer,USC,"Los Angeles, CA",5
"Director, Data Science and Business Intelligence",WASH Multifamily Laundry Systems,"Los Angeles, CA",5
Data Solutions Senior Analyst,Capital Group,"Los Angeles, CA",5
"MANAGER, AMBULATORY OPERATIONS",Pomona Valley Hospital Medical Center,"Pomona, CA",5
Management Services Officer II,UCLA Health,"Los Angeles, CA",5
Data Scientist - DSS Training Specialist - West,Dataiku,"Los Angeles, CA",5
"Director, Mobile Analytics, Voice and Messaging",GoDaddy,"Carlsbad, CA",5
Manager - Data & Analytics,OnPrem Solution Partners,"Los Angeles, CA",5
Data Solutions Architect,Pacific Life,"Aliso Viejo, CA",5
"Manager - Manager, Strategies, Analytics and Quality Initiatives",UCLA Health,"Los Angeles, CA",5
"Manager, Advanced Analytics",Edwards Lifesciences,"Irvine, CA",5
Data Scientist - NLP,"Amazon.com Services, Inc.","Irvine, CA",5
"Director, Data Services",The Walt Disney Studios,"Glendale, CA",5
Director or VP of Analytics,Quigley-Simpson,"Los Angeles, CA",5
"Director, Data Science",Sony Pictures Entertainment Inc.,"Culver City, CA",5
Website Analyst,Lamps Plus,"Chatsworth, CA",5
Data Scientist/Visualization Master,Intermedia Advertising,"Los Angeles, CA",5
Data Scientist - Oil and Gas,Beyond Limits,"Glendale, CA",5
"Director, Data Science",Bird Rides Inc.,"Santa Monica, CA",5
Operations Analyst,Bank of America,"Brea, CA",5
"Manager, Customer Engagement & Retention Analytics, Direct-to-Consumer",NBCUniversal,"Universal City, CA",5
Data Scientist Lead,Auto Club of Southern California,"Costa Mesa, CA",5
Data Scientist Population Health,"Martin Luther King, Jr. Community Hospital","Los Angeles, CA",5
Data Scientist – Organizational Performance,Southern California Edison,"Rosemead, CA",5
Data Scientist – Specialist,Southern California Edison,"Pomona, CA",5
"Data Scientist, Analytics",NEXT Trucking,"Los Angeles, CA",5
"Data Scientist, Engineering",NEXT Trucking,"Los Angeles, CA",5
"Data Scientist, Strategic Analytics","Parks, Experiences and Products","Glendale, CA",5
"Data Scientist (Entry-Level), Product Analytics (Temporary)",Brain Corp,"San Diego, CA",5
Data Scientist,iHerb.com,"Irvine, CA",5
"Planner, Social Marketplace","Horizon Media, Inc.","Los Angeles, CA",5
Data Support Specialist,Laserfiche,"Long Beach, CA",5
Pharmacist - Data Analyst,Cedars-Sinai,"Los Angeles, CA",5
Performance Management - Fixed Operations - 100% travel,CDK Global,"Los Angeles, CA",5
"Data Scientist, Research",NEXT Trucking,"Los Angeles, CA",5
Investment Data Senior Analyst,Capital Group,"Los Angeles, CA",5
Junior Analyst,Universal Music Group,"Santa Monica, CA",5
"Junior Business Analyst, Supply Chain",GOAT,"Los Angeles, CA",5
"Manager, Marketing Analytics",Edmunds.com,"Santa Monica, CA",5
Performance Excellence Associate,Henry Mayo Newhall Memorial Hospital,"Valencia, CA",5
People Operations Generalist,GOAT,"Los Angeles, CA",5
"Manager, Healthcare Analytics",MemorialCare,"Fountain Valley, CA",5
Data Scientist,L.A. Care Health Plan,"Los Angeles, CA",5
Engineering Intern,"Operating Company ACTIVISION PUBLISHING, INC","Los Angeles, CA",5
Engineering Data Scientist,Snapchat,"Los Angeles, CA",5
Operations Manager,"UCPath Center, University of California","Riverside, CA",5
Data Scientist,Retina AI,"Santa Monica, CA",5
Junior Data Scientist,Southern California Edison,"Rosemead, CA",5
"Data Strategy Lead - Big Data, Cloud, Analytics",Accenture,"El Segundo, CA",5
Director of Platform Engineering,Walt Disney Animation Studios,"Burbank, CA",5
Director of US Multi-Family Analytics,CoStar Group,"Los Angeles, CA",5
Wealth Strategy Associate,UBS,"Westlake Village, CA",5
EPM Implementation Consultant,Peloton Group,"Los Angeles, CA",5
Lead Data Application Engineer,"Operating Company ACTIVISION PUBLISHING, INC","Santa Monica, CA",5
EA -18G Mission Data Engineer,SAIC,"Point Mugu NAWC, CA",5
Operations Research Analyst,American Education and Translation Services,"Irvine, CA",5
Data Scientist,VCA Animal Hospitals,"Los Angeles, CA",5
E-Commerce Specialist,Alton Furniture X,"Industry, CA",5
"Mediabrands Data & Tech- Director, Client Management",IPG Mediabrands,"Los Angeles, CA",5
Analyst - Consulting,Wilshire Associates Incorporated,"Santa Monica, CA",5
Data Management Analyst,Logix Federal Credit Union,"Burbank, CA",5
Senior Data Analyst,Verus Analytics LLC,"Diamond Bar, CA",5
User Acquisition Analyst,"Operating Company ACTIVISION PUBLISHING, INC","Santa Monica, CA",5
Consultant - Natural Resources,Esri,"Redlands, CA",5
Associate Data Scientist (Sales Engineering),Factual,"Los Angeles, CA",5
Senior Data Analyst,Pex,"Los Angeles, CA",5
Senior Data Analyst,"Pixalate, Inc.","Los Angeles, CA",5
Senior Data Analyst,Studio71,"Los Angeles, CA",5
Clinical Systems Administrator,Inland Empire Health Plans,"Rancho Cucamonga, CA",5
"Associate Director, Advanced Analytics",AT&T,"El Segundo, CA",5
Strategy Manager,PepsiCo,"Irvine, CA",5
Client Services Associate - Workforce Analytics,Trusaic,"Los Angeles, CA",5
"Associate Director, Analytics",MediaCom,"Los Angeles, CA",5
Staff Business Data Analyst,Intuit,"San Diego, CA",5
Associate Implementation Manager (ID Analytics),Symantec,"San Diego, CA",5
Sr. Project Manager - Data Analytics,ADP,"San Dimas, CA",5
Sr. Director Data Science & Analytics,NBCUniversal,"Universal City, CA",5
Sr. Data Scientist,Gurucul,"El Segundo, CA",5
Senior BI Analyst,Direct-to-Consumer and International,"Burbank, CA",5
Statistical Consultant,UCLA,"Los Angeles, CA",5
"Senior Analyst, Business Analytics",NBCUniversal,"Universal City, CA",5
Contract - Tech Professional Data Analytics,"HRL Laboratories, LLC","Malibu, CA",5
Data Analyst,Bird Rides Inc.,"Santa Monica, CA",5
Data & Reporting Analyst,Staff Smart,"Ontario, CA",5
Sales Analyst,SouthWest Dealer Services (SWDS),"Irvine, CA",5
"Strategist, Social",Hearts and Science,"Burbank, CA",5
Sales Analytics Manager - Sales Excellence Team,Experian,"Costa Mesa, CA",5
"Sales Operations Senior Associate, Business Intelligence",Snapchat,"Los Angeles, CA",5
Sales Operations Specialist,"Amazon Web Services, Inc.","Santa Monica, CA",5
Salesforce Lead,Vichara,"Los Angeles, CA",5
"Associate - Advanced Analytics Modeler, NLP",KPMG,"Irvine, CA",5
Seeking experienced IT professionals for full time opportunities,Denken Solutions Inc,"Irvine, CA",5
Senior Analyst - Advanced Analytics,Hulu,"Santa Monica, CA",5
Coordinator,Netflix,"Los Angeles, CA",5
"Coord, Business Analytics-II",Quest Diagnostics,"Santa Ana, CA",5
Controllership Services | Analytics | Manager,Deloitte,"Los Angeles, CA",5
Associate Application Developer,ADP,"Pasadena, CA",5
Senior Data Consultant,Kaiser Permanente,"Pasadena, CA",5
Senior Data Engineer,Chipotle Mexican Grill,"Newport Beach, CA",5
Senior Data Quality Engineer,Chipotle Mexican Grill,"Newport Beach, CA",5
"Sr. Analyst, Operations Strategy & Analytics",Hyundai Capital America,"Newport Beach, CA",5
Business Analytics Analyst,Southern California Edison,"Pomona, CA",5
Big Data Architect,"Honda R&D Americas, Inc.","Torrance, CA",5
"Business Analyst, ShopNation",Meredith Corporation,"Culver City, CA",5
"Sr Professional, Data Modeling",CoreLogic,"Irvine, CA",5
"Big Data and Analytics Cloud Consultant, Google Cloud Professional Services",Google,"Los Angeles, CA",5
Business Analyst I,Conduent,"Los Angeles, CA",5
Business Analyst / Associate,Los Angeles Football Club,"Los Angeles, CA",5
Business Analyst - Data Management & Governance,Esri,"Redlands, CA",5
"Software Engineering Intern, Global Data Platform",Blizzard Entertainment,"Irvine, CA",5
Solutions Analyst,LRW-CX,"Los Angeles, CA",5
VP of Analytics and Insights,Ticketmaster,"Hollywood, CA",5
Business Analyst,Intercare Therapy,"Los Angeles, CA",5
Business Analyst,Arrowhead Credit Union,"Rancho Cucamonga, CA",5
Sr Data Analyst,Huntington Hospital,"Pasadena, CA",5
Sr Data Architect - Data Lake & Analytics - Nationwide Opportunities,"Amazon Web Services, Inc.","Santa Monica, CA",5
Business Analytics Manager,Internet Brands,"Los Angeles, CA",5
Business Data Analyst,Thermo Fisher Scientific,"Carlsbad, CA",5
"Associate, Business Analyst","Oaktree Capital Management, L.P.","Los Angeles, CA",5
Shop & Engineering Research Assistant,Applied Invention LLC,"Burbank, CA",5
Product Intern,AvantStay,"Los Angeles, CA",5
"VP, E! News Digital Analytics",NBCUniversal,"Universal City, CA",5
Sr. Data Scientist,"Amazon Web Services, Inc.","Santa Monica, CA",5
Business Operations Analyst,Ruggable,"Gardena, CA",5
"Associate, Pension & Investments",The Walt Disney Company (Corporate),"Burbank, CA",5
Sr. Data Engineer,Screen Actors Guild- Producers Pension & Health Pl...,"Burbank, CA",5
Business Intelligence Associate,Direct Agents,"Culver City, CA",5
Senior Instructional Assistant,Downey Unified School District,"Downey, CA",5
Business Intelligence Analyst,SEIU United Health Care Workers,"Los Angeles, CA",5
Business Intelligence Analyst,Breg,"Carlsbad, CA",5
Business Intelligence (BI) Analyst,San Manuel Band of Mission Indians,"San Bernardino, CA",5
Sr. Data Analyst,CoStar Group,"Los Angeles, CA",5
"Senior Product Manager, Fraud Data & Analytics",Ticketmaster,"Hollywood, CA",5
"Sr. Associate, Data & Analytics Modeler, NLP",KPMG,"Irvine, CA",5
"Business Data Analyst, SQL",Herbalife Nutrition,"Los Angeles, CA",5
Risk Data Analyst,Bank of America,"Thousand Oaks, CA",5
"Scientist 2, Data Analytics",Areté,"Northridge, CA",5
Data Analyst,DaVita Medical Group,"El Segundo, CA",5
"Data Analyst \ BI Developer, Product Analytics (Temporary)",Brain Corp,"San Diego, CA",5
Data Engineer,Airspace Technologies,"Carlsbad, CA",5
Data Engineer,Achievement Network (ANet),"Los Angeles, CA",5
Technical Client Director - Data & Analytics,Neudesic LLC,"Irvine, CA",5
"Analyst, Compliance Analytics",Edwards Lifesciences,"Irvine, CA",5
Talent Acquisition Analyst,"Operating Company ACTIVISION PUBLISHING, INC","Santa Monica, CA",5
Data Architect - Data Warehouse & MPP - Nationwide Opportunities,"Amazon Web Services, Inc.","Santa Monica, CA",5
Project Specialist - Engemann Student Health,Keck Medical Center of USC,"Los Angeles, CA",5
Project Support Administrator,NeoGenomics Laboratories,"Aliso Viejo, CA",5
Survey Research Manager,Numerator,"Los Angeles, CA",5
"Assistant Analyst, Programmatic",OMD,"Burbank, CA",5
Quantitative Analyst,Capital Group,"Los Angeles, CA",5
Data Analyst/Business Intelligence Analyst,Sourceability North America,"Irvine, CA",5
Analyst,Universal Music Group,"Santa Monica, CA",5
Analytics & Visualization Specialist,Southern California Edison,"Pomona, CA",5
Supply Chain Analyst,"Amazon.com Services, Inc.","Santa Monica, CA",5
"Analyst, Analytics",TWO NIL,"Playa Vista, CA",5
Data Engineer,FabFitFun,"Los Angeles, CA",5
Data Engineer,Laserfiche,"Long Beach, CA",5
Product Management Data Analyst,"FFF Enterprises, Inc.","Temecula, CA",5
"Technical pre-Sales Consultant, Business Intelligence & Analytics",Tableau,"Los Angeles, CA",5
Data Integration Analyst,Zillow Group,"Irvine, CA",5
Data Governance Program Administrator,SchoolsFirst FCU,"Tustin, CA",5
Data Feed Analyst,Feedonomics,"Woodland Hills, CA",5
Data Engineering Manager - IoT,"Sonos, Inc","Santa Barbara, CA",5
Data Engineer/Machine Learning Developer,CACI,"Riverside, CA",5
"Data Engineer, Product Analytics",Brain Corp,"San Diego, CA",5
"Professional, Data Scientist",CoreLogic,"Irvine, CA",5
Product Manager,CatchMe,"West Hollywood, CA",5
Product Manager (Growth),Jumpcut,"Los Angeles, CA",5
Data Engineer III,Inland Empire Health Plans,"Rancho Cucamonga, CA",5
Product Manager - Spatial Analytics & Data Science,Esri,"Redlands, CA",5
Data Engineer,United Pacific,"Long Beach, CA",5
Data Engineer,PSI Services,"Glendale, CA",5
Real Estate Analyst Assistant,Velocity Commercial Capital,"Westlake Village, CA",5
Data Analytics Manager - Data Governance,"Mercury Insurance Services, LLC","Brea, CA",5
"Sr Manager, People Analytics",The Walt Disney Company (Corporate),"Burbank, CA",5
Strategy and Analytics Manager,Los Angeles Rams,"Agoura Hills, CA",5
Data Analyst I,"Tarzana Treatment Centers, Inc.","Northridge, CA",5
Structured Credit Data Administrator,Guggenheim Life and Annuity Company,"Santa Monica, CA",5
Data Analyst HR Data Operations(PH),The Walt Disney Company (Corporate),"Burbank, CA",5
"Region Anchor, Analytics",Brillio,"Alhambra, CA",5
Data Analyst E-Commerce,PriceSmart Inc.,"San Diego, CA",5
Data Analyst - Project Management,Master Planning Management,"Pomona, CA",5
Data Analyst II - Labor,San Manuel Casino,"Highland, CA",5
Vice President of Analytics,Clicktripz,"Manhattan Beach, CA",5
Artificial Intelligence/Analytics Data Scientist - Consultant in Burbank!,Capgemini,"Burbank, CA",5
Registrar,Saybrook University,"Pasadena, CA",5
Apigee Consultant,Deloitte,"Los Angeles, CA",5
Assistant - Data Integrity & Analytics,Boras Corporation,"Newport Beach, CA",5
Streaming & Playlist Manager - USM,Universal Music Group,"Santa Monica, CA",5
Data Analyst - 1223,Bridgewater Consulting Group,"Rosemead, CA",5
Vans - Financial Analyst,Vans,"Costa Mesa, CA",5
Data Analyst Tag Management,Thermo Fisher Scientific,"Carlsbad, CA",5
Subcontracts Principal,SAIC,"El Segundo, CA",5
Data Analyst Senior,Kaiser Permanente,"Burbank, CA",5
Analytics Manager,The Search Agency,"Glendale, CA",5
Data Analyst Specialist,Digital Creative Institute,"Los Angeles, CA",5
Data Analyst,First American,"Santa Ana, CA",5
Data Analyst,Jam City,"Culver City, CA",5
Data Analyst,Human Options Inc,"Irvine, CA",5
Resource Management Analyst,Point B,"Los Angeles, CA",5
Healthcare Data Analyst,Center for Family Health and Education,"Panorama City, CA",4
INTELLIGENCE SPECIALIST,US Department of the Air Force,"Palmdale, CA",4
"UM- Analyst, Analytics",IPG Mediabrands,"Los Angeles, CA",4
"Sr Professional, Analytics",CoreLogic,"Irvine, CA",4
Google Analytics Manager,Johnson Software and Technologiess,"Los Angeles, CA",4
Strategic Analytics Analyst I - Strategic Analytics,Hoag Memorial Hospital Presbyterian,"Newport Beach, CA",4
Webmaster,ASAP Rehab,"Claremont, CA",4
"Sr. Analyst, HCI Planning & Analytics",Hyundai Capital America,"Irvine, CA",4
"Sr Manager, D&I People",The Walt Disney Company (Corporate),"Burbank, CA",4
Growth Hacker,AvantStay,"Los Angeles, CA",4
Group Analyst,Snapchat,"Los Angeles, CA",4
Telecom Operations Analytics and Reporting Business Analyst,Southern California Edison,"Rosemead, CA",4
Lead / Sr. Data Analyst,Ace-stack LLC,"Carlsbad, CA",4
"Sr. Associate, Strategic Operations",Bird Rides Inc.,"Santa Monica, CA",4
"Insights Director, Digital Analytics",LRW,"Los Angeles, CA",4
Sr. Manager-Data Services & Technology,"Harbor Freight Tools USA, Inc.","Calabasas, CA",4
"Sr. Director, Growth (Big Data Initiatives)",ServiceTitan,"Los Angeles, CA",4
"Sr. Director, Analytics Evangelism","Alteryx, Inc.","Irvine, CA",4
Health Information Systems Business Intelligence Data Analyst,Los Angeles LGBT Center,"Los Angeles, CA",4
Sr. Data Scientist,Trace3,"Irvine, CA",4
Items Analyst,LOCKHEED MARTIN CORPORATION,"Palmdale, CA",4
Supply Technician,Saalex Solutions Inc,"Corona, CA",4
Workforce Data Analyst (NICE inContact),"Tandem Diabetes Care, Inc.","San Diego, CA",4
Info & Data Systems Intern (Graduate Student),Warner Bros Careers,"Burbank, CA",4
Head of Customer Support,Quibi - Los Angeles,"Los Angeles, CA",4
Hadoop Data Engineer,Rockstar San Diego,"Carlsbad, CA",4
Jr Data Analyst,Inter-Con Security Systems,"Pasadena, CA",4
Sr. Data Product Analyst,Modcloth,"Los Angeles, CA",4
Sr. Data Engineer,iHerb.com,"Irvine, CA",4
Writing & Entertainment Mentee,Entity,"Los Angeles, CA",4
YouTube Strategist,CBS,"Burbank, CA",4
Sr. Data Analyst Incentive Program,AltaMed,"Los Angeles, CA",4
Statistical Analyst,Southern California Edison,"Rosemead, CA",4
Sr. Data Analyst - Mobile Ads,Scopely,"Culver City, CA",4
Junior People Partner,Farfetch,"Los Angeles, CA",4
Sr. Data Analyst,UCLA Health,"Los Angeles, CA",4
Industrial Engineering - Data Science,ViaSat,"Carlsbad, CA",4
Sr. Data Analyst,Thermo Fisher Scientific,"Carlsbad, CA",4
"Manager, Regional Analytics & Insights",Petco,"San Diego, CA",4
Sr Financial Analyst,Kaiser Permanente,"Pasadena, CA",4
"Senior Analyst, CSS Sales Analytics",Johnson & Johnson Family of Companies,"Irvine, CA",4
PROGRAM MANAGER - DREW CARES,Charles R. Drew University,"Los Angeles, CA",4
PPC ANALYST,Coalition Technologies,"Culver City, CA",4
Visualization Developer,Loma Linda University,"Loma Linda, CA",4
Operations Specialist,Bird Rides Inc.,"Santa Monica, CA",4
Reporting and Analytics Lead,Amgen,"Thousand Oaks, CA",4
Research Analyst,Fox Corporation,"Los Angeles, CA",4
Research Associate,Lieberman Research Worldwide,"Los Angeles, CA",4
Operations Associate,Lieberman Research Worldwide,"Los Angeles, CA",4
Research Manager,LRW,"Los Angeles, CA",4
OBIEE Reports Developer,SV Professionals,"Santa Ana, CA",4
Risk Adjustment Data Analyst,Network Medical Management,"Alhambra, CA",4
Risk Adjustment Data Scientist,Agilon Health,"Long Beach, CA",4
S&OP Analytics Manager,Life Work Search,"Tustin, CA",4
Nonprofit Data Management and Onboarding Lead,LiveImpact.org,"Los Angeles, CA",4
Scheduler,The J. Paul Getty Trust,"Los Angeles, CA",4
"Senior Analyst, Analytics",MediaCom,"Los Angeles, CA",4
"Mgr, Claims Analytics","Mercury Insurance Services, LLC","Brea, CA",4
People Analyst,Riot Games,"Los Angeles, CA",4
People Analytics Specialist,Applied Medical,"Rancho Santa Margarita, CA",4
RN Clinical Data Analyst,"Martin Luther King, Jr. Community Hospital","Los Angeles, CA",4
Predictive Analyst I,Farmers Insurance Group,"Woodland Hills, CA",4
"Vice President, Commercial Data & Analytics",Amgen,"Thousand Oaks, CA",4
Program Manager,DISQO,"Glendale, CA",4
Programmatic Coordinator,Xaxis,"Los Angeles, CA",4
